account_id|effective_dt|iban|status
ACT-00028|2008-08-25 00:00:00|CH0236918036799637910|inactive
ACT-00031|2008-02-08 00:00:00|CH0240900251892652380|active
ACT-00023|2011-06-27 00:00:00|CH0230382548836512713|active
ACT-00001|2008-02-04 00:00:00|CH0200974687337280877|inactive
ACT-00020|2008-04-28 00:00:00|CH0227578004931115071|inactive
ACT-00014|2005-08-31 00:00:00|CH0215694012443589673|active
ACT-00022|2007-12-10 00:00:00|CH0228315136202810440|active
ACT-00015|2007-02-19 00:00:00|CH0218229960514553128|active
ACT-00006|2006-01-18 00:00:00|CH0207993305365962502|active
ACT-00021|2005-11-07 00:00:00|CH0228112131218563569|inactive
ACT-00008|2006-07-17 00:00:00|CH0209336657619956939|active
ACT-00032|2010-11-23 00:00:00|CH0246225152084380466|active
ACT-00012|2004-01-05 00:00:00|CH0214401606376708007|active
ACT-00034|2007-09-21 00:00:00|CH0249176139269086161|active
ACT-00025|2005-08-16 00:00:00|CH0234139622897026693|active
ACT-00037|2006-01-16 00:00:00|CH0251073611707606644|inactive
ACT-00011|2006-03-27 00:00:00|CH0214151982011227631|active
ACT-00004|2007-07-17 00:00:00|CH0206003498982695304|inactive
ACT-00030|2006-01-20 00:00:00|CH0240522825785605571|inactive
ACT-00024|2007-11-29 00:00:00|CH0231003557422817970|inactive
ACT-00018|2010-06-14 00:00:00|CH0224806721788063113|active
ACT-00016|2006-10-03 00:00:00|CH0219850911967777927|active
ACT-00010|2008-06-10 00:00:00|CH0211681954985788087|inactive
ACT-00036|2004-01-16 00:00:00|CH0250407194135228410|inactive
ACT-00029|2009-04-21 00:00:00|CH0237130733821422792|active
ACT-00009|2011-02-07 00:00:00|CH0210540037202341452|inactive
ACT-00002|2005-03-29 00:00:00|CH0201609149519657198|active
ACT-00035|2007-08-02 00:00:00|CH0250222882407221959|inactive
ACT-00005|2004-09-02 00:00:00|CH0206550793273688901|inactive
ACT-00007|2006-09-06 00:00:00|CH0209049493360060612|inactive
ACT-00003|2007-03-12 00:00:00|CH0204884126669364759|inactive
ACT-00026|2009-03-23 00:00:00|CH0234143718846267688|active
ACT-00019|2008-06-18 00:00:00|CH0225122731249592892|active
ACT-00033|2006-06-06 00:00:00|CH0248281695366099688|inactive
ACT-00027|2006-02-28 00:00:00|CH0234515455801405036|inactive
ACT-00017|2010-02-01 00:00:00|CH0223943235385824696|inactive
ACT-00013|2010-06-28 00:00:00|CH0214894598926922337|active
