account_id|vendor_id|effective_dt|iban|status
ACT-88139|VD-0122|2016-12-14 00:00:00|CH1932866829807319102|active
ACT-92312|VD-0336|2016-12-23 00:00:00|CH7650885777045162894|active
ACT-89760|VD-0189|2016-12-23 00:00:00|CH3919670616665189368|active
ACT-56855|VD-0190|2016-08-17 00:00:00|CH6596386972784054532|inactive
ACT-97132|VD-0483|2011-07-19 00:00:00|CH9534988538950244730|inactive
ACT-64928|VD-0236|2014-04-28 00:00:00|CH4027700895666052556|inactive
ACT-94352|VD-0470|2016-12-13 00:00:00|CH6492240339370001513|inactive
ACT-57213|VD-0423|2009-12-23 00:00:00|CH0665623668876782625|inactive
ACT-49868|VD-0098|2016-01-22 00:00:00|CH3043918433821695264|active
ACT-24843|VD-0298|2013-05-27 00:00:00|CH4807718786190832360|inactive
ACT-23431|VD-0519|2015-10-06 00:00:00|CH1647279360154712663|inactive
ACT-66707|VD-0149|2007-11-06 00:00:00|CH8736193917992409127|inactive
ACT-19075|VD-0188|2012-09-12 00:00:00|CH4981892103159709735|active
ACT-11393|VD-0289|2016-08-30 00:00:00|CH6793768876131112104|active
ACT-15500|VD-0252|2016-12-20 00:00:00|CH4143828480363716930|inactive
ACT-14038|VD-0024|2013-11-15 00:00:00|CH1649720242698031984|inactive
ACT-55145|VD-0322|2015-01-21 00:00:00|CH6379025549032865639|inactive
ACT-46309|VD-0311|2015-12-17 00:00:00|CH9735985181115656715|inactive
ACT-93133|VD-0436|2016-03-31 00:00:00|CH1144023686828974602|inactive
ACT-85421|VD-0384|2015-10-22 00:00:00|CH8153379366444838451|inactive
ACT-96157|VD-0239|2016-10-14 00:00:00|CH4154317555436015590|inactive
ACT-52791|VD-0587|2016-12-14 00:00:00|CH2545663419699556099|active
ACT-89231|VD-0511|2015-09-18 00:00:00|CH3123308219816123054|inactive
ACT-80786|VD-0072|2007-01-22 00:00:00|CH5429754987140651221|inactive
ACT-48901|VD-0014|2016-12-29 00:00:00|CH3005896382056123040|inactive
ACT-93707|VD-0190|2016-12-28 00:00:00|CH2051126430903629655|inactive
ACT-77286|VD-0482|2013-02-14 00:00:00|CH0521123731524803114|inactive
ACT-17429|VD-0127|2015-07-30 00:00:00|CH6844300752038559190|inactive
ACT-84675|VD-0023|2013-07-15 00:00:00|CH7503479208789960488|inactive
ACT-29268|VD-0119|2014-05-07 00:00:00|CH0579773195275967163|inactive
ACT-91225|VD-0547|2014-01-27 00:00:00|CH4709721428818384840|inactive
ACT-58884|VD-0565|2016-01-25 00:00:00|CH5260924307468433205|active
ACT-25662|VD-0288|2015-10-30 00:00:00|CH1708572141820143880|inactive
ACT-67859|VD-0125|2014-11-17 00:00:00|CH1468201048698902858|inactive
ACT-41049|VD-0177|2015-11-25 00:00:00|CH7192888589820897773|active
ACT-71691|VD-0040|2012-01-05 00:00:00|CH9679170993220719186|active
ACT-89461|VD-0011|2016-12-20 00:00:00|CH5208662826482637134|active
ACT-50381|VD-0137|2016-12-28 00:00:00|CH3915695538372987277|inactive
ACT-63405|VD-0472|2016-12-27 00:00:00|CH5374474476572007287|inactive
ACT-42804|VD-0297|2016-11-29 00:00:00|CH3019336329028058975|inactive
ACT-46381|VD-0111|2015-10-29 00:00:00|CH9872337278572286511|inactive
ACT-14719|VD-0343|2009-02-27 00:00:00|CH9689580504113212284|inactive
ACT-93613|VD-0571|2012-06-25 00:00:00|CH4622300126505042541|inactive
ACT-48748|VD-0165|2015-09-22 00:00:00|CH4434607915294231956|active
ACT-57549|VD-0441|2016-09-06 00:00:00|CH3052567193477722776|inactive
ACT-69503|VD-0419|2016-12-30 00:00:00|CH1098844605879267970|active
ACT-61570|VD-0207|2013-08-23 00:00:00|CH7251828293139477770|inactive
ACT-82697|VD-0537|2015-06-04 00:00:00|CH6256477167708451701|active
ACT-27049|VD-0004|2015-09-21 00:00:00|CH4562347990982153391|active
ACT-84141|VD-0364|2016-09-01 00:00:00|CH3271705092007829855|inactive
ACT-60271|VD-0184|2014-02-27 00:00:00|CH5539331137321439545|inactive
ACT-27818|VD-0118|2016-12-05 00:00:00|CH8977782536449332564|active
ACT-45281|VD-0579|2016-10-19 00:00:00|CH7557621605158040369|active
ACT-73449|VD-0550|2015-11-20 00:00:00|CH3306329447995961420|active
ACT-39216|VD-0480|2016-09-26 00:00:00|CH4325086144491339367|active
ACT-88624|VD-0515|2016-10-21 00:00:00|CH8724007569870368618|inactive
ACT-77870|VD-0429|2016-06-10 00:00:00|CH4807788840759335682|inactive
ACT-88629|VD-0418|2016-12-01 00:00:00|CH8980578751610212729|active
ACT-46306|VD-0138|2016-11-03 00:00:00|CH6858756462027713242|active
ACT-64723|VD-0252|2015-02-06 00:00:00|CH1006820597721560021|active
ACT-71150|VD-0235|2016-08-02 00:00:00|CH7431937425509344634|inactive
ACT-79657|VD-0006|2016-07-13 00:00:00|CH6674049116059348498|inactive
ACT-14823|VD-0259|2016-05-02 00:00:00|CH1931806113728849435|active
ACT-47104|VD-0284|2014-03-28 00:00:00|CH4483639144099780811|inactive
ACT-15511|VD-0408|2016-11-21 00:00:00|CH9592852190555984658|active
ACT-97129|VD-0517|2012-10-08 00:00:00|CH0711406861491810002|inactive
ACT-44340|VD-0561|2014-01-27 00:00:00|CH7487974625418452418|inactive
ACT-19128|VD-0393|2014-06-11 00:00:00|CH1742601472716136819|active
ACT-68859|VD-0479|2016-12-22 00:00:00|CH4146786984414263688|inactive
ACT-66755|VD-0159|2016-03-16 00:00:00|CH3146115032200851604|active
ACT-40638|VD-0320|2011-11-30 00:00:00|CH8638687542058730395|inactive
ACT-60903|VD-0064|2016-09-19 00:00:00|CH3746947812491506344|inactive
ACT-67033|VD-0557|2016-12-23 00:00:00|CH4455027057679975442|inactive
ACT-42531|VD-0357|2016-08-25 00:00:00|CH2804827661339251064|inactive
ACT-36944|VD-0125|2016-07-15 00:00:00|CH5039837041721813617|active
ACT-72572|VD-0456|2014-09-01 00:00:00|CH3955990284185142452|inactive
ACT-35904|VD-0273|2016-06-10 00:00:00|CH1708016055510826375|inactive
ACT-58764|VD-0437|2015-11-03 00:00:00|CH4644045247750505971|active
ACT-85991|VD-0507|2016-12-30 00:00:00|CH7135921053356646103|inactive
ACT-97083|VD-0140|2012-02-23 00:00:00|CH4079034245696289785|inactive
ACT-61851|VD-0159|2012-11-09 00:00:00|CH9660211545142584203|inactive
ACT-53274|VD-0330|2013-11-22 00:00:00|CH0342369324758206889|inactive
ACT-89985|VD-0366|2016-03-17 00:00:00|CH1904509617255156915|inactive
ACT-87215|VD-0067|2016-01-12 00:00:00|CH4296421323470854890|active
