bnk_trn_ref|exec_dt|debit_account_no|credit_account_no|amount|trn_desc
R64421Q49527|2012-02-24 00:00:00|CH0227578004931115071|CH2284113576710807414|24963.34|Payment of invoice(s) NorthStar Time
R81732D65060|2006-03-10 00:00:00|CH0240522825785605571|CH1396683322404415097|16362.40|Payment of invoice(s) Cytrex
R35502L47724|2015-07-24 00:00:00|CH0218229960514553128|CH6525051052542047010|334.91|Payment of invoice(s) Suburban Time
E14591T45790|2011-09-02 00:00:00|CH0214401606376708007|CH0747760994091143568|19740.80|Payment of invoice(s) NextTime
K92263G58261|2012-04-13 00:00:00|CH0214894598926922337|CH4296421323470854890|21492.54|Payment of invoice(s) Time  Hands
S32118T33403|2014-01-24 00:00:00|CH0224806721788063113|CH8515468004216856140|42543.36|Payment of invoice(s) SecondTime
U76248F40850|2009-05-08 00:00:00|CH0231003557422817970|CH9791001388567356681|21482.63|Payment of invoice(s) Saint Time
S38376K92706|2012-09-28 00:00:00|CH0228315136202810440|CH7455625517759336763|24408.90|Payment of invoice(s) Holland, Ray
W89461N70012|2010-11-05 00:00:00|CH0240522825785605571|CH3786008636498512184|1505.78|Payment of invoice(s) Spacewax
X53238B73141|2011-12-09 00:00:00|CH0206550793273688901|CH5306138861270198557|96785.95|Payment of invoice(s) Tucker, Steel
N47703D35958|2005-12-30 00:00:00|CH0201609149519657198|CH4154911007648432776|57543.83|Payment of invoice(s) Tuliptime Tunefest
T16260S59453|2008-01-18 00:00:00|CH0204884126669364759|CH4297398669858140496|22198.76|Payment of invoice(s) Antechnology
F33652M97434|2016-01-08 00:00:00|CH0204884126669364759|CH3276374414353537218|7971.92|Payment of invoice(s) Time  Iron
E65776P92193|2010-04-23 00:00:00|CH0223943235385824696|CH7164967580455939097|44852.85|Payment of invoice(s) RedHot Time
F57640D93305|2016-07-15 00:00:00|CH0228112131218563569|CH4385645604347036714|14060.92|Payment of invoice(s) Just Time
B29787M20914|2015-02-13 00:00:00|CH0200974687337280877|CH8016460903045779129|5068.69|Payment of invoice(s) WriteTech
H78024T33638|2011-03-18 00:00:00|CH0237130733821422792|CH3514647971914614633|33898.62|Payment of invoice(s) Design of the Times
L62285Y78218|2011-12-30 00:00:00|CH0204884126669364759|CH1443469204088447401|7957.35|Payment of invoice(s) Neighborhood Time
T66800J94336|2013-05-24 00:00:00|CH0210540037202341452|CH5088079216680893260|12209.15|Payment of invoice(s) Sapphire Time
