employee_id|birth_date|first_name|last_name|gender|hire_date|leaving_date
EMP-0155|1975-05-30 00:00:00|Anthony|Burris|M|2007-08-07 00:00:00|2014-02-17 00:00:00
EMP-0183|1983-11-17 00:00:00|Rahim|Shaw|M|2008-05-05 00:00:00|2008-11-07 00:00:00
EMP-0362|1972-09-21 00:00:00|Charde|Zimmerman|F|2007-01-18 00:00:00|
EMP-0182|1973-02-25 00:00:00|Brody|Snow|M|2008-04-24 00:00:00|2013-05-10 00:00:00
EMP-0456|1982-11-22 00:00:00|Jena|Webster|F|2016-11-29 00:00:00|
EMP-0049|1977-01-06 00:00:00|Melanie|Cunningham|F|2004-04-28 00:00:00|2016-10-26 00:00:00
EMP-0062|1968-11-16 00:00:00|Molly|Camacho|F|2004-10-07 00:00:00|
EMP-0213|1970-05-11 00:00:00|Carl|Graves|M|2009-03-12 00:00:00|
EMP-0452|1976-05-13 00:00:00|Penelope|Nelson|F|2016-11-09 00:00:00|
EMP-0230|1980-07-03 00:00:00|Alexander|Giles|M|2009-09-07 00:00:00|
EMP-0307|1969-04-08 00:00:00|Octavia|Mayo|F|2012-03-09 00:00:00|
EMP-0446|1986-01-25 00:00:00|Maggie|Snow|F|2016-09-15 00:00:00|
EMP-0206|1973-04-12 00:00:00|Gareth|Jacobs|M|2004-12-23 00:00:00|
EMP-0077|1976-06-22 00:00:00|Jelani|Hall|M|2005-04-15 00:00:00|2016-06-03 00:00:00
EMP-0400|1987-07-12 00:00:00|Wylie|Buckley|M|2015-02-06 00:00:00|
EMP-0306|1981-09-13 00:00:00|Graham|Rocha|M|2012-02-23 00:00:00|2016-03-22 00:00:00
EMP-0369|1988-07-16 00:00:00|Maxwell|Frost|M|2014-04-15 00:00:00|
EMP-0196|1973-03-24 00:00:00|Timothy|Sykes|M|2008-09-17 00:00:00|
EMP-0287|1984-07-08 00:00:00|Jameson|Stafford|M|2011-06-14 00:00:00|
EMP-0390|1981-12-09 00:00:00|Amery|Fletcher|M|2014-10-20 00:00:00|
EMP-0268|1977-05-10 00:00:00|Elijah|Tran|M|2011-01-06 00:00:00|
EMP-0168|1973-02-08 00:00:00|Harding|Holmes|M|2007-11-27 00:00:00|
EMP-0417|1988-10-28 00:00:00|Shelly|Burt|F|2015-08-06 00:00:00|
EMP-0323|1979-07-13 00:00:00|Silas|Hancock|M|2012-09-18 00:00:00|
EMP-0302|1976-06-25 00:00:00|Solomon|Skinner|M|2012-01-03 00:00:00|
