vendor_address_id|vendor_id|vendor_name|address_no|effective_dt|address_01|city|postal|country
VDA-00768|VD-0583|Romero, Lillith|1|2005-03-07 00:00:00|Industriestrasse 1|Volketswil|8604|Switzerland
VDA-00388|VD-0292|Garza, Silas|1|2013-12-13 00:00:00|place du Midi 25|Sion|1950|Switzerland
VDA-00321|VD-0209|Owens, Nero|1|2011-07-15 00:00:00|Kasernenstrasse 4|B??lach|8180|Switzerland
VDA-00303|VD-0188|Delacruz, Yael|1|2007-06-07 00:00:00|Hofackerstrasse 13|Z??rich|8032|Switzerland
VDA-00498|VD-0423|Nichols, Tobias|1|2007-04-10 00:00:00|rue Fritz-Courvoisier 40|La Chaux-de-Fonds|2300|Switzerland
VDA-00741|VD-0520|Cote, Benedict|2|2013-02-24 00:00:00|Auenstrasse 10|D??bendorf|8600|Switzerland
VDA-00161|VD-0006|Pena, Drew|1|2013-02-06 00:00:00|Alte Neeracherstrasse 4|Neerach|8173|Switzerland
VDA-00465|VD-0384|Barnett, Lael|1|2011-03-21 00:00:00|rue des Poteaux 4|Neuch??tel|2000|Switzerland
VDA-00691|VD-0095|Webster, Dawn|2|2016-09-02 00:00:00|Neuweg 4|D??bendorf|8600|Switzerland
VDA-00765|VD-0580|Walker, Claudia|1|2012-06-11 00:00:00|Bahnstrasse 16|Schwerzenbach|8603|Switzerland
VDA-00174|VD-0021|Anderson, Deacon|1|2007-11-12 00:00:00|avenue Centrale 111|Villars-sur-Ollon|1884|Switzerland
VDA-00361|VD-0258|Terry, Lance|1|2010-12-30 00:00:00|M??nchaltorferstrasse 8|Egg b. Z??rich|8132|Switzerland
VDA-00269|VD-0144|Hansen, Sybill|1|2015-09-03 00:00:00|Froschaugasse 7|Z??rich|8001|Switzerland
VDA-00358|VD-0253|Sweeney, Coby|1|2013-04-12 00:00:00|M??rtplatz 15|Effretikon|8307|Switzerland
VDA-00158|VD-0003|Higgins, Orli|1|2009-09-28 00:00:00|Alte D??bendorferstrasse 17|Dietlikon|8305|Switzerland
VDA-00566|VD-0505|Raymond, Vance|1|2013-12-12 00:00:00|Usterstrasse 95|Wetzikon|8620|Switzerland
VDA-00227|VD-0093|Lott, Dale|1|2016-03-07 00:00:00|B??elstrasse 15|Affoltern am Albis|8910|Switzerland
VDA-00776|VD-0574|Tucker, Amos|2|2013-07-20 00:00:00|Schaffhauserstrasse 134|Kloten|8302|Switzerland
VDA-00582|VD-0525|Hoffman, Orla|1|2009-03-16 00:00:00|Wiesenbachstrasse 7|Abtwil|9030|Switzerland
VDA-00139|VD-0410|Progressive Time|1|2011-01-24 00:00:00|rue de la Mor??che 6|Nyon|1260|Switzerland
VDA-00149|VD-0067|Time  Hands|1|2011-10-24 00:00:00|Kornhausplatz 14|Bern|3011|Switzerland
VDA-00338|VD-0226|Anthony, Davis|1|2011-12-20 00:00:00|Landstrasse 37|Andelfingen|8450|Switzerland
VDA-00212|VD-0073|Tucker, Carly|1|2013-08-07 00:00:00|Bimenz??ltenstrasse 34|Kloten|8302|Switzerland
VDA-00428|VD-0338|Harper, Haviva|1|2011-04-04 00:00:00|rue Centrale 7|Chalais|3966|Switzerland
VDA-00523|VD-0454|Frederick, Wallace|1|2015-04-17 00:00:00|Seefeldstrasse 224|Z??rich|8008|Switzerland
VDA-00557|VD-0493|Roth, Kaseem|1|2011-06-29 00:00:00|Theaterstrasse 8|Z??rich|8001|Switzerland
VDA-00519|VD-0448|Schroeder, Jordan|1|2012-08-13 00:00:00|Schwamendingenstrasse 10|Z??rich|8050|Switzerland
VDA-00487|VD-0411|Franco, Gillian|1|2013-07-16 00:00:00|rue du Seyon 10|Neuch??tel|2000|Switzerland
VDA-00769|VD-0584|Ortega, Ivy|1|2007-08-31 00:00:00|Usterstrasse 51|Volketswil|8604|Switzerland
VDA-00500|VD-0425|Madden, Dale|1|2011-10-19 00:00:00|rue Louis Antille 11|Crans-Montana|3963|Switzerland
VDA-00424|VD-0334|White, Laurel|1|2008-04-29 00:00:00|Ruchstuckstrasse 14|Br??ttisellen|8306|Switzerland
VDA-00698|VD-0109|Moody, Amos|2|2009-05-14 00:00:00|Winterthurerstrasse 32|Gutenswil|8605|Switzerland
VDA-00356|VD-0249|Woodard, Madeline|1|2011-02-17 00:00:00|Marktgasse 57|Winterthur|8400|Switzerland
VDA-00245|VD-0115|Fisher, Len|1|2012-08-15 00:00:00|Dorfstrasse 24|Grafstal|8310|Switzerland
VDA-00335|VD-0223|Burt, Shelly|1|2015-08-06 00:00:00|Kugelgasse 4|M??nnedorf|8708|Switzerland
VDA-00642|VD-0389|Gilliam, Chelsea|2|2014-08-10 00:00:00|Zelglistrasse 15|Br??tten|8311|Switzerland
VDA-00302|VD-0187|Bernard, Justin|1|2015-06-01 00:00:00|Hochstrasse 11|Pf??ffikon|8330|Switzerland
VDA-00056|VD-0026|Spare Time|2|2012-10-15 00:00:00|R??tistrasse 3|Wald ZH|8636|Switzerland
VDA-00549|VD-0485|Whitaker, Kylynn|1|2007-02-19 00:00:00|Stiegweg 2|Bassersdorf|8303|Switzerland
VDA-00138|VD-0057|Spacewax|3|2012-12-12 00:00:00|rue de la Gare 28|Morges|1110|Switzerland
VDA-00159|VD-0004|Clayton, Clare|1|2012-03-22 00:00:00|Alte Landstrasse 24|Horgen|8810|Switzerland
VDA-00764|VD-0579|Harper, Clementine|1|2012-11-26 00:00:00|Im Zentrum 18|Volketswil|8604|Switzerland
